Customer_ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Total,Customer_Segment
CUST053,173,1,100,3,1,2,6,Churn Risk Customers
CUST054,326,1,1500,1,1,5,7,Churn Risk Customers
CUST055,84,1,120,4,1,3,8,Potential Customers
CUST056,216,1,900,3,1,4,8,Potential Customers
CUST057,45,1,30,5,1,1,7,Churn Risk Customers
CUST058,50,1,1200,5,1,5,11,Potential Customers
CUST059,181,1,50,3,1,1,5,Churn Risk Customers
CUST060,71,1,150,5,1,3,9,Potential Customers
CUST061,268,1,200,2,1,3,6,Churn Risk Customers
CUST062,6,1,100,5,1,2,8,Potential Customers
CUST063,331,1,50,1,1,1,3,Churn Risk Customers
CUST064,343,1,100,1,1,2,4,Churn Risk Customers
CUST065,28,1,2000,5,1,5,11,Potential Customers
CUST066,250,1,30,2,1,1,4,Churn Risk Customers
CUST067,218,1,1200,3,1,5,9,Potential Customers
CUST068,326,1,300,1,1,4,6,Churn Risk Customers
CUST069,247,1,75,2,1,2,5,Churn Risk Customers
CUST070,315,1,300,1,1,4,6,Churn Risk Customers
CUST071,172,1,100,3,1,2,6,Churn Risk Customers
CUST072,224,1,2000,3,1,5,9,Potential Customers
CUST073,134,1,90,4,1,2,7,Churn Risk Customers
CUST074,41,1,2000,5,1,5,11,Potential Customers
CUST075,180,1,200,3,1,3,7,Churn Risk Customers
CUST076,283,1,100,2,1,2,5,Churn Risk Customers
CUST077,177,1,100,3,1,2,6,Churn Risk Customers
CUST078,185,1,1500,3,1,5,9,Potential Customers
CUST079,259,1,300,2,1,4,7,Churn Risk Customers
CUST080,23,1,60,5,1,2,8,Potential Customers
CUST081,230,1,50,2,1,1,4,Churn Risk Customers
CUST082,7,1,200,5,1,3,9,Potential Customers
CUST083,17,1,100,5,1,2,8,Potential Customers
CUST084,35,1,90,5,1,2,8,Potential Customers
CUST085,330,1,150,1,1,3,5,Churn Risk Customers
CUST086,55,1,90,5,1,2,8,Potential Customers
CUST087,41,1,100,5,1,2,8,Potential Customers
CUST088,279,1,500,2,1,4,7,Churn Risk Customers
CUST089,93,1,2000,4,1,5,10,Potential Customers
CUST090,241,1,30,2,1,1,4,Churn Risk Customers
CUST091,283,1,500,2,1,4,7,Churn Risk Customers
CUST092,130,1,120,4,1,3,8,Potential Customers
CUST093,172,1,2000,3,1,5,9,Potential Customers
CUST094,228,1,1000,2,1,4,7,Churn Risk Customers
CUST095,39,1,60,5,1,2,8,Potential Customers
CUST096,14,1,600,5,1,4,10,Potential Customers
CUST097,81,1,1000,4,1,4,9,Potential Customers
CUST098,254,1,100,2,1,2,5,Churn Risk Customers
CUST099,16,1,1200,5,1,5,11,Potential Customers
CUST100,200,1,30,3,1,1,5,Churn Risk Customers
CUST1000,265,1,120,2,1,3,6,Churn Risk Customers
CUST101,338,1,600,1,1,4,6,Churn Risk Customers
CUST102,249,1,50,2,1,1,4,Churn Risk Customers
CUST103,350,1,25,1,1,1,3,Churn Risk Customers
CUST104,205,1,1000,3,1,4,8,Potential Customers
CUST105,161,1,500,3,1,4,8,Potential Customers
CUST106,229,1,50,2,1,1,4,Churn Risk Customers
CUST107,333,1,1200,1,1,5,7,Churn Risk Customers
CUST108,258,1,75,2,1,2,5,Churn Risk Customers
CUST109,76,1,2000,4,1,5,10,Potential Customers
CUST110,205,1,900,3,1,4,8,Potential Customers
CUST111,258,1,1500,2,1,5,8,Potential Customers
CUST112,31,1,1500,5,1,5,11,Potential Customers
CUST113,111,1,50,4,1,1,6,Churn Risk Customers
CUST114,164,1,100,3,1,2,6,Churn Risk Customers
CUST115,37,1,1500,5,1,5,11,Potential Customers
CUST116,132,1,30,4,1,1,6,Churn Risk Customers
CUST117,293,1,1000,1,1,4,6,Churn Risk Customers
CUST118,231,1,2000,2,1,5,8,Potential Customers
CUST119,295,1,150,1,1,3,5,Churn Risk Customers
CUST120,240,1,50,2,1,1,4,Churn Risk Customers
CUST121,79,1,200,4,1,3,8,Potential Customers
CUST122,91,1,120,4,1,3,8,Potential Customers
CUST123,232,1,60,2,1,2,5,Churn Risk Customers
CUST124,67,1,2000,5,1,5,11,Potential Customers
CUST125,147,1,100,4,1,2,7,Churn Risk Customers
CUST126,68,1,90,5,1,2,8,Potential Customers
CUST127,162,1,50,3,1,1,5,Churn Risk Customers
CUST128,181,1,500,3,1,4,8,Potential Customers
CUST129,254,1,600,2,1,4,7,Churn Risk Customers
CUST130,296,1,500,1,1,4,6,Churn Risk Customers
CUST131,106,1,600,4,1,4,9,Potential Customers
CUST132,114,1,200,4,1,3,8,Potential Customers
CUST133,320,1,900,1,1,4,6,Churn Risk Customers
CUST134,342,1,50,1,1,1,3,Churn Risk Customers
CUST135,310,1,50,1,1,1,3,Churn Risk Customers
CUST136,288,1,600,2,1,4,7,Churn Risk Customers
CUST137,45,1,1000,5,1,4,10,Potential Customers
CUST138,285,1,200,2,1,3,6,Churn Risk Customers
CUST139,18,1,2000,5,1,5,11,Potential Customers
CUST140,150,1,30,3,1,1,5,Churn Risk Customers
CUST141,61,1,50,5,1,1,7,Churn Risk Customers
CUST142,334,1,1200,1,1,5,7,Churn Risk Customers
CUST143,169,1,50,3,1,1,5,Churn Risk Customers
CUST144,171,1,1500,3,1,5,9,Potential Customers
CUST145,61,1,75,5,1,2,8,Potential Customers
CUST146,127,1,200,4,1,3,8,Potential Customers
CUST147,96,1,300,4,1,4,9,Potential Customers
CUST148,238,1,60,2,1,2,5,Churn Risk Customers
CUST149,83,1,75,4,1,2,7,Churn Risk Customers
CUST150,361,1,120,1,1,3,5,Churn Risk Customers
CUST151,18,1,50,5,1,1,7,Churn Risk Customers
CUST152,308,1,2000,1,1,5,7,Churn Risk Customers
CUST153,17,1,1000,5,1,4,10,Potential Customers
CUST154,92,1,900,4,1,4,9,Potential Customers
CUST155,230,1,2000,2,1,5,8,Potential Customers
CUST156,38,1,100,5,1,2,8,Potential Customers
CUST157,192,1,2000,3,1,5,9,Potential Customers
CUST158,309,1,600,1,1,4,6,Churn Risk Customers
CUST159,216,1,200,3,1,3,7,Churn Risk Customers
CUST160,144,1,100,4,1,2,7,Churn Risk Customers
CUST161,286,1,1000,2,1,4,7,Churn Risk Customers
CUST162,134,1,60,4,1,2,7,Churn Risk Customers
CUST163,365,1,150,1,1,3,5,Churn Risk Customers
CUST164,232,1,1500,2,1,5,8,Potential Customers
CUST165,110,1,1200,4,1,5,10,Potential Customers
CUST166,275,1,2000,2,1,5,8,Potential Customers
CUST167,107,1,150,4,1,3,8,Potential Customers
CUST168,312,1,300,1,1,4,6,Churn Risk Customers
CUST169,46,1,1500,5,1,5,11,Potential Customers
CUST170,214,1,50,3,1,1,5,Churn Risk Customers
CUST171,39,1,900,5,1,4,10,Potential Customers
CUST172,107,1,50,4,1,1,6,Churn Risk Customers
CUST173,55,1,120,5,1,3,9,Potential Customers
CUST174,265,1,300,2,1,4,7,Churn Risk Customers
CUST175,288,1,100,2,1,2,5,Churn Risk Customers
CUST176,175,1,100,3,1,2,6,Churn Risk Customers
CUST177,284,1,100,2,1,2,5,Churn Risk Customers
CUST178,90,1,60,4,1,2,7,Churn Risk Customers
CUST179,95,1,300,4,1,4,9,Potential Customers
CUST180,366,1,900,1,1,4,6,Churn Risk Customers
CUST181,60,1,1200,5,1,5,11,Potential Customers
CUST182,201,1,120,3,1,3,7,Churn Risk Customers
CUST183,116,1,900,4,1,4,9,Potential Customers
CUST184,357,1,200,1,1,3,5,Churn Risk Customers
CUST185,309,1,25,1,1,1,3,Churn Risk Customers
CUST186,181,1,200,3,1,3,7,Churn Risk Customers
CUST187,209,1,100,3,1,2,6,Churn Risk Customers
CUST188,244,1,75,2,1,2,5,Churn Risk Customers
CUST189,337,1,50,1,1,1,3,Churn Risk Customers
CUST190,243,1,90,2,1,2,5,Churn Risk Customers
CUST191,76,1,25,4,1,1,6,Churn Risk Customers
CUST192,326,1,100,1,1,2,4,Churn Risk Customers
CUST193,323,1,1500,1,1,5,7,Churn Risk Customers
CUST194,118,1,200,4,1,3,8,Potential Customers
CUST195,331,1,30,1,1,1,3,Churn Risk Customers
CUST196,94,1,900,4,1,4,9,Potential Customers
CUST197,302,1,200,1,1,3,5,Churn Risk Customers
CUST198,301,1,900,1,1,4,6,Churn Risk Customers
CUST199,29,1,1500,5,1,5,11,Potential Customers
CUST200,123,1,150,4,2,3,9,Potential Customers
CUST201,85,1,25,4,2,1,7,Churn Risk Customers
CUST202,282,1,1200,2,2,5,9,Potential Customers
CUST203,231,1,1000,2,2,4,8,Potential Customers
CUST204,96,1,25,4,2,1,7,Churn Risk Customers
CUST205,56,1,25,5,2,1,8,Potential Customers
CUST206,150,1,25,3,2,1,6,Churn Risk Customers
CUST207,258,1,50,2,2,1,5,Churn Risk Customers
CUST208,90,1,200,4,2,3,9,Potential Customers
CUST209,13,1,200,5,2,3,10,Potential Customers
CUST210,264,1,200,2,2,3,7,Churn Risk Customers
CUST211,1,1,1500,5,2,5,12,Core Customers
CUST212,207,1,1500,3,2,5,10,Potential Customers
CUST213,162,1,1500,3,2,5,10,Potential Customers
CUST214,23,1,60,5,2,2,9,Potential Customers
CUST215,34,1,1500,5,2,5,12,Core Customers
CUST216,175,1,100,3,2,2,7,Churn Risk Customers
CUST217,142,1,200,4,2,3,9,Potential Customers
CUST218,102,1,90,4,2,2,8,Potential Customers
CUST219,135,1,90,4,2,2,8,Potential Customers
CUST220,305,1,500,1,2,4,7,Churn Risk Customers
CUST221,240,1,600,2,2,4,8,Potential Customers
CUST222,251,1,120,2,2,3,7,Churn Risk Customers
CUST223,334,1,25,1,2,1,4,Churn Risk Customers
CUST224,193,1,50,3,2,1,6,Churn Risk Customers
CUST225,356,1,100,1,2,2,5,Churn Risk Customers
CUST226,65,1,50,5,2,1,8,Potential Customers
CUST227,83,1,100,4,2,2,8,Potential Customers
CUST228,249,1,60,2,2,2,6,Churn Risk Customers
CUST229,65,1,90,5,2,2,9,Potential Customers
CUST230,254,1,25,2,2,1,5,Churn Risk Customers
CUST231,363,1,150,1,2,3,6,Churn Risk Customers
CUST232,330,1,25,1,2,1,4,Churn Risk Customers
CUST233,4,1,600,5,2,4,11,Potential Customers
CUST234,43,1,50,5,2,1,8,Potential Customers
CUST235,336,1,1000,1,2,4,7,Churn Risk Customers
CUST236,249,1,25,2,2,1,5,Churn Risk Customers
CUST237,332,1,1000,1,2,4,7,Churn Risk Customers
CUST238,350,1,500,1,2,4,7,Churn Risk Customers
CUST239,197,1,1500,3,2,5,10,Potential Customers
CUST240,330,1,300,1,2,4,7,Churn Risk Customers
CUST241,103,1,75,4,2,2,8,Potential Customers
CUST242,245,1,25,2,2,1,5,Churn Risk Customers
CUST243,224,1,900,3,2,4,9,Potential Customers
CUST244,24,1,100,5,2,2,9,Potential Customers
CUST245,118,1,90,4,2,2,8,Potential Customers
CUST246,257,1,50,2,2,1,5,Churn Risk Customers
CUST247,90,1,60,4,2,2,8,Potential Customers
CUST248,299,1,900,1,2,4,7,Churn Risk Customers
CUST249,74,1,50,4,2,1,7,Churn Risk Customers
CUST250,71,1,50,5,2,1,8,Potential Customers
CUST251,124,1,200,4,2,3,9,Potential Customers
CUST252,242,1,300,2,2,4,8,Potential Customers
CUST253,124,1,2000,4,2,5,11,Potential Customers
CUST254,158,1,500,3,2,4,9,Potential Customers
CUST255,269,1,30,2,2,1,5,Churn Risk Customers
CUST256,318,1,1000,1,2,4,7,Churn Risk Customers
CUST257,317,1,2000,1,2,5,8,Potential Customers
CUST258,29,1,50,5,2,1,8,Potential Customers
CUST259,146,1,200,4,2,3,9,Potential Customers
CUST260,185,1,60,3,2,2,7,Churn Risk Customers
CUST261,150,1,50,3,2,1,6,Churn Risk Customers
CUST262,156,1,120,3,2,3,8,Potential Customers
CUST263,127,1,60,4,2,2,8,Potential Customers
CUST264,339,1,900,1,2,4,7,Churn Risk Customers
CUST265,22,1,900,5,2,4,11,Potential Customers
CUST266,32,1,60,5,2,2,9,Potential Customers
CUST267,36,1,90,5,2,2,9,Potential Customers
CUST268,316,1,30,1,2,1,4,Churn Risk Customers
CUST269,335,1,2000,1,2,5,8,Potential Customers
CUST270,160,1,300,3,2,4,9,Potential Customers
CUST271,193,1,120,3,2,3,8,Potential Customers
CUST272,311,1,100,1,2,2,5,Churn Risk Customers
CUST273,239,1,50,2,2,1,5,Churn Risk Customers
CUST274,268,1,1000,2,2,4,8,Potential Customers
CUST275,269,1,1000,2,2,4,8,Potential Customers
CUST276,92,1,100,4,2,2,8,Potential Customers
CUST277,137,1,100,4,2,2,8,Potential Customers
CUST278,295,1,100,1,2,2,5,Churn Risk Customers
CUST279,150,1,500,3,2,4,9,Potential Customers
CUST280,273,1,1500,2,2,5,9,Potential Customers
CUST281,224,1,2000,3,2,5,10,Potential Customers
CUST282,130,1,200,4,2,3,9,Potential Customers
CUST283,239,1,500,2,2,4,8,Potential Customers
CUST284,328,1,200,1,2,3,6,Churn Risk Customers
CUST285,140,1,25,4,2,1,7,Churn Risk Customers
CUST286,85,1,50,4,2,1,7,Churn Risk Customers
CUST287,316,1,100,1,2,2,5,Churn Risk Customers
CUST288,341,1,120,1,2,3,6,Churn Risk Customers
CUST289,33,1,60,5,2,2,9,Potential Customers
CUST290,90,1,600,4,2,4,10,Potential Customers
CUST291,359,1,600,1,2,4,7,Churn Risk Customers
CUST292,319,1,1200,1,2,5,8,Potential Customers
CUST293,245,1,90,2,2,2,6,Churn Risk Customers
CUST294,281,1,90,2,2,2,6,Churn Risk Customers
CUST295,158,1,900,3,2,4,9,Potential Customers
CUST296,118,1,1200,4,2,5,11,Potential Customers
CUST297,120,1,1000,4,2,4,10,Potential Customers
CUST298,257,1,1200,2,2,5,9,Potential Customers
CUST299,161,1,1000,3,2,4,9,Potential Customers
CUST300,336,1,200,1,2,3,6,Churn Risk Customers
CUST301,282,1,120,2,2,3,7,Churn Risk Customers
CUST302,172,1,600,3,2,4,9,Potential Customers
CUST303,365,1,90,1,2,2,5,Churn Risk Customers
CUST304,167,1,60,3,2,2,7,Churn Risk Customers
CUST305,231,1,30,2,2,1,5,Churn Risk Customers
CUST306,134,1,50,4,2,1,7,Churn Risk Customers
CUST307,220,1,50,3,2,1,6,Churn Risk Customers
CUST308,150,1,1200,3,2,5,10,Potential Customers
CUST309,10,1,25,5,2,1,8,Potential Customers
CUST310,82,1,25,4,2,1,7,Churn Risk Customers
CUST311,28,1,100,5,2,2,9,Potential Customers
CUST312,117,1,120,4,2,3,9,Potential Customers
CUST313,287,1,1500,2,2,5,9,Potential Customers
CUST314,269,1,120,2,2,3,7,Churn Risk Customers
CUST315,215,1,60,3,2,2,7,Churn Risk Customers
CUST316,255,1,50,2,2,1,5,Churn Risk Customers
CUST317,337,1,90,1,2,2,5,Churn Risk Customers
CUST318,70,1,25,5,2,1,8,Potential Customers
CUST319,89,1,500,4,2,4,10,Potential Customers
CUST320,335,1,1200,1,2,5,8,Potential Customers
CUST321,206,1,50,3,2,1,6,Churn Risk Customers
CUST322,337,1,500,1,2,4,7,Churn Risk Customers
CUST323,341,1,900,1,2,4,7,Churn Risk Customers
CUST324,67,1,150,5,2,3,10,Potential Customers
CUST325,122,1,50,4,2,1,7,Churn Risk Customers
CUST326,109,1,75,4,2,2,8,Potential Customers
CUST327,95,1,150,4,2,3,9,Potential Customers
CUST328,286,1,100,2,2,2,6,Churn Risk Customers
CUST329,337,1,100,1,2,2,5,Churn Risk Customers
CUST330,106,1,200,4,2,3,9,Potential Customers
CUST331,325,1,90,1,2,2,5,Churn Risk Customers
CUST332,271,1,1200,2,2,5,9,Potential Customers
CUST333,331,1,1200,1,2,5,8,Potential Customers
CUST334,62,1,900,5,2,4,11,Potential Customers
CUST335,332,1,120,1,2,3,6,Churn Risk Customers
CUST336,21,1,150,5,2,3,10,Potential Customers
CUST337,246,1,500,2,2,4,8,Potential Customers
CUST338,160,1,100,3,2,2,7,Churn Risk Customers
CUST339,305,1,50,1,2,1,4,Churn Risk Customers
CUST340,75,1,1200,4,2,5,11,Potential Customers
CUST341,240,1,200,2,2,3,7,Churn Risk Customers
CUST342,70,1,2000,5,2,5,12,Core Customers
CUST343,62,1,50,5,2,1,8,Potential Customers
CUST344,346,1,30,1,2,1,4,Churn Risk Customers
CUST345,49,1,30,5,2,1,8,Potential Customers
CUST346,325,1,1000,1,2,4,7,Churn Risk Customers
CUST347,152,1,25,3,2,1,6,Churn Risk Customers
CUST348,30,1,600,5,2,4,11,Potential Customers
CUST349,68,1,50,5,2,1,8,Potential Customers
CUST350,77,1,75,4,2,2,8,Potential Customers
CUST351,99,1,90,4,2,2,8,Potential Customers
CUST352,205,1,1000,3,2,4,9,Potential Customers
CUST353,233,1,500,2,2,4,8,Potential Customers
CUST354,262,1,200,2,2,3,7,Churn Risk Customers
CUST355,24,1,500,5,2,4,11,Potential Customers
CUST356,206,1,1500,3,2,5,10,Potential Customers
CUST357,244,1,75,2,2,2,6,Churn Risk Customers
CUST358,231,1,300,2,2,4,8,Potential Customers
CUST359,164,1,50,3,2,1,6,Churn Risk Customers
CUST360,299,1,100,1,2,2,5,Churn Risk Customers
CUST361,23,1,1200,5,2,5,12,Core Customers
CUST362,36,1,25,5,2,1,8,Potential Customers
CUST363,213,1,25,3,2,1,6,Churn Risk Customers
CUST364,132,1,500,4,2,4,10,Potential Customers
CUST365,205,1,300,3,2,4,9,Potential Customers
CUST366,329,1,100,1,2,2,5,Churn Risk Customers
CUST367,362,1,50,1,2,1,4,Churn Risk Customers
CUST368,132,1,1200,4,2,5,11,Potential Customers
CUST369,48,1,1500,5,2,5,12,Core Customers
CUST370,78,1,60,4,2,2,8,Potential Customers
CUST371,315,1,25,1,2,1,4,Churn Risk Customers
CUST372,329,1,1500,1,2,5,8,Potential Customers
CUST373,91,1,600,4,2,4,10,Potential Customers
CUST374,257,1,75,2,2,2,6,Churn Risk Customers
CUST375,107,1,50,4,2,1,7,Churn Risk Customers
CUST376,231,1,30,2,2,1,5,Churn Risk Customers
CUST377,299,1,200,1,2,3,6,Churn Risk Customers
CUST378,188,1,300,3,2,4,9,Potential Customers
CUST379,331,1,25,1,2,1,4,Churn Risk Customers
CUST380,241,1,600,2,2,4,8,Potential Customers
CUST381,177,1,100,3,2,2,7,Churn Risk Customers
CUST382,221,1,1000,3,2,4,9,Potential Customers
CUST383,286,1,90,2,2,2,6,Churn Risk Customers
CUST384,142,1,500,4,2,4,10,Potential Customers
CUST385,88,1,1500,4,2,5,11,Potential Customers
CUST386,6,1,600,5,2,4,11,Potential Customers
CUST387,212,1,30,3,2,1,6,Churn Risk Customers
CUST388,53,1,25,5,2,1,8,Potential Customers
CUST389,32,1,50,5,2,1,8,Potential Customers
CUST390,96,1,100,4,2,2,8,Potential Customers
CUST391,362,1,50,1,2,1,4,Churn Risk Customers
CUST392,25,1,600,5,2,4,11,Potential Customers
CUST393,83,1,1000,4,2,4,10,Potential Customers
CUST394,213,1,500,3,2,4,9,Potential Customers
CUST395,27,1,1000,5,2,4,11,Potential Customers
CUST396,313,1,30,1,2,1,4,Churn Risk Customers
CUST397,298,1,25,1,2,1,4,Churn Risk Customers
CUST398,231,1,600,2,2,4,8,Potential Customers
CUST399,307,1,60,1,2,2,5,Churn Risk Customers
CUST400,312,1,200,1,3,3,7,Churn Risk Customers
CUST401,83,1,300,4,3,4,11,Potential Customers
CUST402,287,1,600,2,3,4,9,Potential Customers
CUST403,227,1,600,2,3,4,9,Potential Customers
CUST404,222,1,1000,3,3,4,10,Potential Customers
CUST405,57,1,1200,5,3,5,13,Core Customers
CUST406,259,1,100,2,3,2,7,Churn Risk Customers
CUST407,191,1,900,3,3,4,10,Potential Customers
CUST408,262,1,500,2,3,4,9,Potential Customers
CUST409,15,1,900,5,3,4,12,Core Customers
CUST410,42,1,100,5,3,2,10,Potential Customers
CUST411,231,1,200,2,3,3,8,Potential Customers
CUST412,108,1,2000,4,3,5,12,Core Customers
CUST413,116,1,75,4,3,2,9,Potential Customers
CUST414,238,1,100,2,3,2,7,Churn Risk Customers
CUST415,340,1,60,1,3,2,6,Churn Risk Customers
CUST416,319,1,2000,1,3,5,9,Potential Customers
CUST417,42,1,900,5,3,4,12,Core Customers
CUST418,150,1,1000,3,3,4,10,Potential Customers
CUST419,225,1,90,2,3,2,7,Churn Risk Customers
CUST420,344,1,2000,1,3,5,9,Potential Customers
CUST421,365,1,1500,1,3,5,9,Potential Customers
CUST422,196,1,90,3,3,2,8,Potential Customers
CUST423,300,1,25,1,3,1,5,Churn Risk Customers
CUST424,40,1,1200,5,3,5,13,Core Customers
CUST425,232,1,120,2,3,3,8,Potential Customers
CUST426,284,1,150,2,3,3,8,Potential Customers
CUST427,140,1,25,4,3,1,8,Potential Customers
CUST428,84,1,200,4,3,3,10,Potential Customers
CUST429,5,1,50,5,3,1,9,Potential Customers
CUST430,148,1,900,3,3,4,10,Potential Customers
CUST431,79,1,1200,4,3,5,12,Core Customers
CUST432,362,1,1000,1,3,4,8,Potential Customers
CUST433,309,1,200,1,3,3,7,Churn Risk Customers
CUST434,328,1,50,1,3,1,5,Churn Risk Customers
CUST435,13,1,900,5,3,4,12,Core Customers
CUST436,290,1,120,1,3,3,7,Churn Risk Customers
CUST437,87,1,1200,4,3,5,12,Core Customers
CUST438,348,1,30,1,3,1,5,Churn Risk Customers
CUST439,177,1,75,3,3,2,8,Potential Customers
CUST440,68,1,600,5,3,4,12,Core Customers
CUST441,84,1,1200,4,3,5,12,Core Customers
CUST442,291,1,100,1,3,2,6,Churn Risk Customers
CUST443,146,1,600,4,3,4,11,Potential Customers
CUST444,301,1,90,1,3,2,6,Churn Risk Customers
CUST445,345,1,300,1,3,4,8,Potential Customers
CUST446,209,1,50,3,3,1,7,Churn Risk Customers
CUST447,180,1,2000,3,3,5,11,Potential Customers
CUST448,346,1,60,1,3,2,6,Churn Risk Customers
CUST449,183,1,200,3,3,3,9,Potential Customers
CUST450,259,1,50,2,3,1,6,Churn Risk Customers
CUST451,17,1,30,5,3,1,9,Potential Customers
CUST452,239,1,1500,2,3,5,10,Potential Customers
CUST453,25,1,1000,5,3,4,12,Core Customers
CUST454,314,1,25,1,3,1,5,Churn Risk Customers
CUST455,185,1,100,3,3,2,8,Potential Customers
CUST456,80,1,60,4,3,2,9,Potential Customers
CUST457,158,1,900,3,3,4,10,Potential Customers
CUST458,49,1,100,5,3,2,10,Potential Customers
CUST459,287,1,1200,2,3,5,10,Potential Customers
CUST460,245,1,50,2,3,1,6,Churn Risk Customers
CUST461,283,1,1000,2,3,4,9,Potential Customers
CUST462,276,1,1200,2,3,5,10,Potential Customers
CUST463,155,1,1500,3,3,5,11,Potential Customers
CUST464,354,1,600,1,3,4,8,Potential Customers
CUST465,275,1,150,2,3,3,8,Potential Customers
CUST466,196,1,100,3,3,2,8,Potential Customers
CUST467,156,1,150,3,3,3,9,Potential Customers
CUST468,24,1,25,5,3,1,9,Potential Customers
CUST469,239,1,75,2,3,2,7,Churn Risk Customers
CUST470,230,1,1000,2,3,4,9,Potential Customers
CUST471,285,1,150,2,3,3,8,Potential Customers
CUST472,7,1,900,5,3,4,12,Core Customers
CUST473,311,1,50,1,3,1,5,Churn Risk Customers
CUST474,171,1,1500,3,3,5,11,Potential Customers
CUST475,347,1,75,1,3,2,6,Churn Risk Customers
CUST476,126,1,2000,4,3,5,12,Core Customers
CUST477,253,1,120,2,3,3,8,Potential Customers
CUST478,264,1,60,2,3,2,7,Churn Risk Customers
CUST479,131,1,1200,4,3,5,12,Core Customers
CUST480,187,1,2000,3,3,5,11,Potential Customers
CUST481,210,1,1200,3,3,5,11,Potential Customers
CUST482,250,1,1200,2,3,5,10,Potential Customers
CUST483,252,1,30,2,3,1,6,Churn Risk Customers
CUST484,354,1,1200,1,3,5,9,Potential Customers
CUST485,29,1,30,5,3,1,9,Potential Customers
CUST486,268,1,25,2,3,1,6,Churn Risk Customers
CUST487,162,1,2000,3,3,5,11,Potential Customers
CUST488,198,1,900,3,3,4,10,Potential Customers
CUST489,224,1,30,3,3,1,7,Churn Risk Customers
CUST490,331,1,150,1,3,3,7,Churn Risk Customers
CUST491,224,1,900,3,3,4,10,Potential Customers
CUST492,187,1,100,3,3,2,8,Potential Customers
CUST493,38,1,50,5,3,1,9,Potential Customers
CUST494,106,1,200,4,3,3,10,Potential Customers
CUST495,162,1,60,3,3,2,8,Potential Customers
CUST496,19,1,600,5,3,4,12,Core Customers
CUST497,92,1,120,4,3,3,10,Potential Customers
CUST498,197,1,100,3,3,2,8,Potential Customers
CUST499,352,1,60,1,3,2,6,Churn Risk Customers
CUST500,307,1,100,1,3,2,6,Churn Risk Customers
CUST501,233,1,60,2,3,2,7,Churn Risk Customers
CUST502,275,1,150,2,3,3,8,Potential Customers
